  1! = 10^(  0.0000000)  =   1.0000000 x 10^  0  =    1.0000000 x 2^   0
  2! = 10^(  0.3010300)  =   2.0000000 x 10^  0  =    1.0000000 x 2^   1
  3! = 10^(  0.7781513)  =   6.0000000 x 10^  0  =    1.5000000 x 2^   2
  4! = 10^(  1.3802112)  =   2.4000000 x 10^  1  =    1.5000000 x 2^   4
  5! = 10^(  2.0791812)  =   1.2000000 x 10^  2  =    1.8750000 x 2^   6
  6! = 10^(  2.8573325)  =   7.2000000 x 10^  2  =    1.4062500 x 2^   9
  7! = 10^(  3.7024305)  =   5.0400000 x 10^  3  =    1.2304687 x 2^  12
  8! = 10^(  4.6055205)  =   4.0320000 x 10^  4  =    1.2304687 x 2^  15
  9! = 10^(  5.5597630)  =   3.6288000 x 10^  5  =    1.3842773 x 2^  18
 60! = 10^( 81.9201748)  =   8.3209871 x 10^ 81  =    1.0965187 x 2^ 272
 61! = 10^( 83.7055047)  =   5.0758021 x 10^ 83  =    1.0451194 x 2^ 278
 62! = 10^( 85.4978964)  =   3.1469973 x 10^ 85  =    1.0124594 x 2^ 284
 63! = 10^( 87.2972369)  =   1.9826083 x 10^ 87  =    1.9932794 x 2^ 289
 64! = 10^( 89.1034169)  =   1.2688693 x 10^ 89  =    1.9932794 x 2^ 295
 65! = 10^( 90.9163303)  =   8.2476506 x 10^ 90  =    1.0122122 x 2^ 302
 66! = 10^( 92.7358742)  =   5.4434494 x 10^ 92  =    1.0438438 x 2^ 308
 67! = 10^( 94.5619490)  =   3.6471111 x 10^ 94  =    1.0927740 x 2^ 314
 68! = 10^( 96.3944579)  =   2.4800355 x 10^ 96  =    1.1610724 x 2^ 320
 69! = 10^( 98.2333070)  =   1.7112245 x 10^ 98  =    1.2517812 x 2^ 326
 70! = 10^(100.0784050)  =   1.1978572 x 10^100  =    1.3691356 x 2^ 332
 71! = 10^(101.9296634)  =   8.5047859 x 10^101  =    1.5188848 x 2^ 338
 72! = 10^(103.7869959)  =   6.1234458 x 10^103  =    1.7087455 x 2^ 344
 73! = 10^(105.6503187)  =   4.4701155 x 10^105  =    1.9490378 x 2^ 350
 74! = 10^(107.5195505)  =   3.3078854 x 10^107  =    1.1267875 x 2^ 357
 75! = 10^(109.3946117)  =   2.4809141 x 10^109  =    1.3204541 x 2^ 363
 76! = 10^(111.2754253)  =   1.8854947 x 10^111  =    1.5680392 x 2^ 369
 77! = 10^(113.1619160)  =   1.4518309 x 10^113  =    1.8865472 x 2^ 375
 78! = 10^(115.0540106)  =   1.1324281 x 10^115  =    1.1496147 x 2^ 382
 79! = 10^(116.9516377)  =   8.9461821 x 10^116  =    1.4190556 x 2^ 388
 80! = 10^(118.8547277)  =   7.1569457 x 10^118  =    1.7738195 x 2^ 394
 81! = 10^(120.7632127)  =   5.7971260 x 10^120  =    1.1224952 x 2^ 401
 82! = 10^(122.6770266)  =   4.7536433 x 10^122  =    1.4381969 x 2^ 407
 83! = 10^(124.5961047)  =   3.9455240 x 10^124  =    1.8651616 x 2^ 413
 84! = 10^(126.5203840)  =   3.3142401 x 10^126  =    1.2240123 x 2^ 420
 85! = 10^(128.4498029)  =   2.8171041 x 10^128  =    1.6256414 x 2^ 426
 86! = 10^(130.3843013)  =   2.4227095 x 10^130  =    1.0922278 x 2^ 433
 87! = 10^(132.3238206)  =   2.1077573 x 10^132  =    1.4847472 x 2^ 439
 88! = 10^(134.2683033)  =   1.8548264 x 10^134  =    1.0207637 x 2^ 446
 89! = 10^(136.2176933)  =   1.6507955 x 10^136  =    1.4194995 x 2^ 452
 90! = 10^(138.1719358)  =   1.4857160 x 10^138  =    1.9961712 x 2^ 458
 91! = 10^(140.1309772)  =   1.3520015 x 10^140  =    1.4191529 x 2^ 465
 92! = 10^(142.0947650)  =   1.2438414 x 10^142  =    1.0200162 x 2^ 472
 93! = 10^(144.0632480)  =   1.1567725 x 10^144  =    1.4822110 x 2^ 478
 94! = 10^(146.0363758)  =   1.0873662 x 10^146  =    1.0884987 x 2^ 485
 95! = 10^(148.0140994)  =   1.0329978 x 10^148  =    1.6157403 x 2^ 491
 96! = 10^(149.9963707)  =   9.9167793 x 10^149  =    1.2118052 x 2^ 498
 97! = 10^(151.9831424)  =   9.6192760 x 10^151  =    1.8366422 x 2^ 504
 98! = 10^(153.9743685)  =   9.4268904 x 10^153  =    1.4061792 x 2^ 511
 99! = 10^(155.9700037)  =   9.3326215 x 10^155  =    1.0875917 x 2^ 518
100! = 10^(157.9700037)  =   9.3326215 x 10^157  =    1.6993621 x 2^ 524
101! = 10^(159.9743250)  =   9.4259478 x 10^159  =    1.3409029 x 2^ 531
102! = 10^(161.9829252)  =   9.6144667 x 10^161  =    1.0685320 x 2^ 538
103! = 10^(163.9957624)  =   9.9029007 x 10^163  =    1.7196687 x 2^ 544
104! = 10^(166.0127958)  =   1.0299017 x 10^166  =    1.3972308 x 2^ 551
105! = 10^(168.0339851)  =   1.0813968 x 10^168  =    1.1461659 x 2^ 558
106! = 10^(170.0592909)  =   1.1462806 x 10^170  =    1.8983373 x 2^ 564
107! = 10^(172.0886747)  =   1.2265202 x 10^172  =    1.5868913 x 2^ 571
108! = 10^(174.1220985)  =   1.3246418 x 10^174  =    1.3389395 x 2^ 578
109! = 10^(176.1595250)  =   1.4438596 x 10^176  =    1.1401907 x 2^ 585
110! = 10^(178.2009176)  =   1.5882455 x 10^178  =    1.9597028 x 2^ 591
111! = 10^(180.2462406)  =   1.7629526 x 10^180  =    1.6994297 x 2^ 598
112! = 10^(182.2954586)  =   1.9745069 x 10^182  =    1.4870010 x 2^ 605
113! = 10^(184.3485371)  =   2.2311927 x 10^184  =    1.3127431 x 2^ 612
114! = 10^(186.4054419)  =   2.5435597 x 10^186  =    1.1691618 x 2^ 619
115! = 10^(188.4661398)  =   2.9250937 x 10^188  =    1.0504188 x 2^ 626
116! = 10^(190.5305978)  =   3.3931087 x 10^190  =    1.9038841 x 2^ 632
117! = 10^(192.5987836)  =   3.9699372 x 10^192  =    1.7402691 x 2^ 639
118! = 10^(194.6706656)  =   4.6845258 x 10^194  =    1.6043106 x 2^ 646
119! = 10^(196.7462126)  =   5.5745858 x 10^196  =    1.4915075 x 2^ 653
120! = 10^(198.8253938)  =   6.6895029 x 10^198  =    1.3982883 x 2^ 660
121! = 10^(200.9081792)  =   8.0942985 x 10^200  =    1.3218194 x 2^ 667
122! = 10^(202.9945390)  =   9.8750442 x 10^202  =    1.2598591 x 2^ 674
123! = 10^(205.0844442)  =   1.2146304 x 10^205  =    1.2106458 x 2^ 681
124! = 10^(207.1778658)  =   1.5061417 x 10^207  =    1.1728132 x 2^ 688
125! = 10^(209.2747759)  =   1.8826772 x 10^209  =    1.1453253 x 2^ 695
126! = 10^(211.3751464)  =   2.3721732 x 10^211  =    1.1274296 x 2^ 702
127! = 10^(213.4789501)  =   3.0126600 x 10^213  =    1.1186216 x 2^ 709
128! = 10^(215.5861601)  =   3.8562048 x 10^215  =    1.1186216 x 2^ 716
129! = 10^(217.6967498)  =   4.9745042 x 10^217  =    1.1273608 x 2^ 723
130! = 10^(219.8106932)  =   6.4668555 x 10^219  =    1.1449758 x 2^ 730
131! = 10^(221.9279645)  =   8.4715807 x 10^221  =    1.1718112 x 2^ 737
132! = 10^(224.0485384)  =   1.1182487 x 10^224  =    1.2084303 x 2^ 744
133! = 10^(226.1723900)  =   1.4872707 x 10^226  =    1.2556346 x 2^ 751
134! = 10^(228.2994948)  =   1.9929427 x 10^228  =    1.3144925 x 2^ 758
135! = 10^(230.4298286)  =   2.6904727 x 10^230  =    1.3863788 x 2^ 765
136! = 10^(232.5633675)  =   3.6590429 x 10^232  =    1.4730275 x 2^ 772
137! = 10^(234.7000881)  =   5.0128887 x 10^234  =    1.5765997 x 2^ 779
138! = 10^(236.8399672)  =   6.9177865 x 10^236  =    1.6997716 x 2^ 786
139! = 10^(238.9829820)  =   9.6157232 x 10^238  =    1.8458457 x 2^ 793
140! = 10^(241.1291100)  =   1.3462012 x 10^241  =    1.0094469 x 2^ 801
141! = 10^(243.2783291)  =   1.8981438 x 10^243  =    1.1119688 x 2^ 808
142! = 10^(245.4306174)  =   2.6953641 x 10^245  =    1.2335904 x 2^ 815
143! = 10^(247.5859535)  =   3.8543707 x 10^247  =    1.3781518 x 2^ 822
144! = 10^(249.7443160)  =   5.5502938 x 10^249  =    1.5504207 x 2^ 829
145! = 10^(251.9056840)  =   8.0479261 x 10^251  =    1.7563360 x 2^ 836
146! = 10^(254.0700368)  =   1.1749972 x 10^254  =    1.0016604 x 2^ 844
147! = 10^(256.2373542)  =   1.7272459 x 10^256  =    1.1503443 x 2^ 851
148! = 10^(258.4076159)  =   2.5563239 x 10^258  =    1.3300856 x 2^ 858
149! = 10^(260.5808022)  =   3.8089226 x 10^260  =    1.5483028 x 2^ 865
150! = 10^(262.7568934)  =   5.7133840 x 10^262  =    1.8144174 x 2^ 872
151! = 10^(264.9358704)  =   8.6272098 x 10^264  =    1.0702227 x 2^ 880
152! = 10^(267.1177139)  =   1.3113359 x 10^267  =    1.2708895 x 2^ 887
153! = 10^(269.3024054)  =   2.0063439 x 10^269  =    1.5191101 x 2^ 894
154! = 10^(271.4899261)  =   3.0897696 x 10^271  =    1.8276793 x 2^ 901
155! = 10^(273.6802578)  =   4.7891429 x 10^273  =    1.1066027 x 2^ 909
156! = 10^(275.8733824)  =   7.4710629 x 10^275  =    1.3486721 x 2^ 916
157! = 10^(278.0692820)  =   1.1729569 x 10^278  =    1.6542306 x 2^ 923
158! = 10^(280.2679391)  =   1.8532719 x 10^280  =    1.0209704 x 2^ 931
159! = 10^(282.4693363)  =   2.9467023 x 10^282  =    1.2682367 x 2^ 938
160! = 10^(284.6734562)  =   4.7147236 x 10^284  =    1.5852959 x 2^ 945
161! = 10^(286.8802821)  =   7.5907051 x 10^286  =    1.9940050 x 2^ 952
162! = 10^(289.0897971)  =   1.2296942 x 10^289  =    1.2618313 x 2^ 960
163! = 10^(291.3019847)  =   2.0044016 x 10^291  =    1.6068633 x 2^ 967
164! = 10^(293.5168286)  =   3.2872186 x 10^293  =    1.0293968 x 2^ 975
165! = 10^(295.7343125)  =   5.4239107 x 10^295  =    1.3269568 x 2^ 982
166! = 10^(297.9544206)  =   9.0036917 x 10^297  =    1.7208971 x 2^ 989
167! = 10^(300.1771371)  =   1.5036165 x 10^300  =    1.1226165 x 2^ 997
168! = 10^(302.4024464)  =   2.5260757 x 10^302  =    1.4734341 x 2^1004
169! = 10^(304.6303331)  =   4.2690680 x 10^304  =    1.9453935 x 2^1011
170! = 10^(306.8607820)  =   7.2574156 x 10^306  =    1.2918629 x 2^1019
171! = 10^(309.0937781)  =   1.2410181 x 10^309  =    1.7258480 x 2^1026
172! = 10^(311.3293066)  =   2.1345511 x 10^311  =    1.1595542 x 2^1034
173! = 10^(313.5673527)  =   3.6927734 x 10^313  =    1.5672099 x 2^1041
174! = 10^(315.8079019)  =   6.4254257 x 10^315  =    1.0652130 x 2^1049
175! = 10^(318.0509400)  =   1.1244495 x 10^318  =    1.4563459 x 2^1056
176! = 10^(320.2964526)  =   1.9790311 x 10^320  =    1.0012378 x 2^1064
177! = 10^(322.5444259)  =   3.5028851 x 10^322  =    1.3845241 x 2^1071
178! = 10^(324.7948459)  =   6.2351354 x 10^324  =    1.9253539 x 2^1078
179! = 10^(327.0476989)  =   1.1160892 x 10^327  =    1.3462435 x 2^1086
180! = 10^(329.3029714)  =   2.0089606 x 10^329  =    1.8931550 x 2^1093
181! = 10^(331.5606500)  =   3.6362187 x 10^331  =    1.3385197 x 2^1101
182! = 10^(333.8207214)  =   6.6179181 x 10^333  =    1.9032077 x 2^1108
183! = 10^(336.0831725)  =   1.2110790 x 10^336  =    1.3604961 x 2^1116
184! = 10^(338.3479903)  =   2.2283854 x 10^338  =    1.9557132 x 2^1123
185! = 10^(340.6151620)  =   4.1225130 x 10^340  =    1.4133084 x 2^1131
186! = 10^(342.8846750)  =   7.6678741 x 10^342  =    1.0268569 x 2^1139
187! = 10^(345.1565166)  =   1.4338925 x 10^345  =    1.5001737 x 2^1146
188! = 10^(347.4306744)  =   2.6957178 x 10^347  =    1.1016901 x 2^1154
189! = 10^(349.7071362)  =   5.0949067 x 10^349  =    1.6267142 x 2^1161
190! = 10^(351.9858898)  =   9.6803227 x 10^351  =    1.2073270 x 2^1169
191! = 10^(354.2669232)  =   1.8489416 x 10^354  =    1.8015582 x 2^1176
192! = 10^(356.5502244)  =   3.5499679 x 10^356  =    1.3511687 x 2^1184
193! = 10^(358.8357817)  =   6.8514381 x 10^358  =    1.0186545 x 2^1192
194! = 10^(361.1235835)  =   1.3291790 x 10^361  =    1.5438982 x 2^1199
195! = 10^(363.4136181)  =   2.5918990 x 10^363  =    1.1760162 x 2^1207
196! = 10^(365.7058742)  =   5.0801221 x 10^365  =    1.8007748 x 2^1214
197! = 10^(368.0003404)  =   1.0007841 x 10^368  =    1.3857525 x 2^1222
198! = 10^(370.2970056)  =   1.9815524 x 10^370  =    1.0717930 x 2^1230
199! = 10^(372.5958586)  =   3.9432893 x 10^372  =    1.6663031 x 2^1237
